"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","106","0","C001040","R","218","319","68.34","RI","1","Lincoln D. Chafee","","https://api.propublica.org/congress/v1/members/C001040.json","102","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","S000709","R","489","672","74.2","PA","2","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","J000072","R","487","672","74.81","VT","3","James M. Jeffords","","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","C000269","R","247","340","77.67","RI","4","John H. Chafee","Died 1999","https://api.propublica.org/congress/v1/members/C000269.json","",""
"","","","","S000663","R","522","672","77.79","ME","5","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","C001035","R","538","672","80.06","ME","6","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","B001210","D","538","672","80.3","WV","7","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","F000061","D","543","672","80.92","WI","8","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","V000126","R","543","672","82.65","OH","9","George V. Voinovich","","https://api.propublica.org/congress/v1/members/V000126.json","",""
"","","","","B000780","D","546","672","82.73","LA","10","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
"","","","","M000303","R","394","672","83.12","AZ","11","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","S000606","R","559","672","83.18","NH","12","Bob Smith","","https://api.propublica.org/congress/v1/members/S000606.json","",""
"","","","","F000442","R","560","672","83.46","IL","13","Peter G. Fitzgerald","","https://api.propublica.org/congress/v1/members/F000442.json","",""
"","","","","M001141","D","58","70","84.06","GA","14","Zell Bryan Miller","","https://api.propublica.org/congress/v1/members/M001141.json","",""
"","","","","H000725","D","570","672","86.76","SC","15","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","D000294","R","585","672","87.18","OH","16","Michael DeWine","","https://api.propublica.org/congress/v1/members/D000294.json","",""
"","","","","W000288","D","578","672","87.44","MN","17","Paul D. Wellstone","","https://api.propublica.org/congress/v1/members/W000288.json","",""
"","","","","H000463","R","559","672","87.76","NC","18","Jesse Helms","","https://api.propublica.org/congress/v1/members/H000463.json","",""
