"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","109","0","C001040","R","387","645","61.92","RI","1","Lincoln D. Chafee","Defeated for reelection","https://api.propublica.org/congress/v1/members/C001040.json","101","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","N000180","D","402","645","62.52","NE","2","Ben Nelson","","https://api.propublica.org/congress/v1/members/N000180.json","",""
"","","","","S000663","R","454","645","71.27","ME","3","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","C001035","R","481","645","74.57","ME","4","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","S000709","R","481","645","76.59","PA","5","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","D000294","R","501","645","78.04","OH","6","Michael DeWine","Defeated for reelection","https://api.propublica.org/congress/v1/members/D000294.json","",""
"","","","","M000303","R","466","645","79.39","AZ","7","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","B000243","D","511","645","82.02","MT","8","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","L000550","D","512","645","82.18","LA","9","Mary L. Landrieu","","https://api.propublica.org/congress/v1/members/L000550.json","",""
"","","","","C000705","D","516","645","82.43","ND","10","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","B001210","D","519","645","82.64","WV","11","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","C000174","D","536","645","83.36","DE","12","Thomas R. Carper","","https://api.propublica.org/congress/v1/members/C000174.json","",""
"","","","","S001078","R","527","645","83.92","NH","13","John E. Sununu","","https://api.propublica.org/congress/v1/members/S001078.json","",""
"","","","","N000032","D","537","645","84.57","FL","14","Bill Nelson","","https://api.propublica.org/congress/v1/members/N000032.json","",""
"","","","","C001057","R","525","645","84.68","MN","15","Norm Coleman","","https://api.propublica.org/congress/v1/members/C001057.json","",""
"","","","","P000590","D","550","645","85.54","AR","16","Mark Pryor","","https://api.propublica.org/congress/v1/members/P000590.json","",""
"","","","","G000445","R","541","645","85.74","NH","17","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","V000126","R","549","645","85.78","OH","18","George V. Voinovich","","https://api.propublica.org/congress/v1/members/V000126.json","",""
"","","","","C000560","R","547","645","85.87","OK","19","Tom Coburn","","https://api.propublica.org/congress/v1/members/C000560.json","",""
"","","","","F000061","D","548","645","86.03","WI","20","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","L000504","R","554","645","86.83","IN","21","Richard G. Lugar","","https://api.propublica.org/congress/v1/members/L000504.json","",""
"","","","","L000035","D","555","645","86.85","AR","22","Blanche Lincoln","","https://api.propublica.org/congress/v1/members/L000035.json","",""
"","","","","S001142","R","553","645","86.95","OR","23","Gordon Harold Smith","","https://api.propublica.org/congress/v1/members/S001142.json","",""
"","","","","D000432","D","551","645","87.32","ND","24","Byron L. Dorgan","","https://api.propublica.org/congress/v1/members/D000432.json","",""
"","","","","J000177","D","557","645","87.58","SD","25","Tim Johnson","","https://api.propublica.org/congress/v1/members/J000177.json","",""
"","","","","T000024","R","562","645","87.68","MO","26","James M. Talent","Defeated for reelection","https://api.propublica.org/congress/v1/members/T000024.json","",""
"","","","","W000154","R","556","645","87.84","VA","27","John W. Warner","","https://api.propublica.org/congress/v1/members/W000154.json","",""
"","","","","G000359","R","550","645","88.28","SC","28","Lindsey Graham","","https://api.propublica.org/congress/v1/members/G000359.json","",""
"","","","","E000194","R","559","645","88.31","NV","29","John Ensign","","https://api.propublica.org/congress/v1/members/E000194.json","",""
"","","","","I000024","R","560","645","88.47","OK","30","James M. Inhofe","","https://api.propublica.org/congress/v1/members/I000024.json","",""
"","","","","J000072","I","542","645","88.71","VT","31","James M. Jeffords","Caucuses with the Ds; retired","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","L000304","D","530","645","88.78","CT","32","Joseph I. Lieberman","Defeated in Democratic primary; re-elected as independent","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","B000468","D","563","645","89.51","NM","33","Jeff Bingaman","","https://api.propublica.org/congress/v1/members/B000468.json","",""
"","","","","S001163","D","567","645","89.57","CO","34","Ken Salazar","","https://api.propublica.org/congress/v1/members/S001163.json","",""
"","","","","H001028","R","569","645","89.61","NE","35","Chuck T. Hagel","","https://api.propublica.org/congress/v1/members/H001028.json","",""
"","","","","K000352","R","575","645","89.7","AZ","36","Jon Kyl","","https://api.propublica.org/congress/v1/members/K000352.json","",""
"","","","","B000953","R","569","645","90.03","KS","37","Sam Brownback","","https://api.propublica.org/congress/v1/members/B000953.json","",""
"","","","","B001233","D","569","645","90.17","IN","38","Evan Bayh","","https://api.propublica.org/congress/v1/members/B001233.json","",""
"","","","","D000595","R","572","645","90.22","SC","39","Jim DeMint","","https://api.propublica.org/congress/v1/members/D000595.json","",""
"","","","","S000888","R","575","645","90.27","AK","40","Ted F. Stevens","","https://api.propublica.org/congress/v1/members/S000888.json","",""
"","","","","W000779","D","580","645","90.48","OR","41","Ron Wyden","","https://api.propublica.org/congress/v1/members/W000779.json","",""
"","","","","B000444","D","526","645","90.53","DE","42","Joseph R. Biden Jr.","","https://api.propublica.org/congress/v1/members/B000444.json","",""
"","","","","V000127","R","563","645","90.66","LA","43","David Vitter","","https://api.propublica.org/congress/v1/members/V000127.json","",""
"","","","","B001135","R","576","645","90.71","NC","44","Richard M. Burr","","https://api.propublica.org/congress/v1/members/B001135.json","",""
"","","","","C001042","D","209","366","90.87","NJ","45","Jon Stevens Corzine","Elected governor of NJ, 1/17/2006","https://api.propublica.org/congress/v1/members/C001042.json","",""
"","","","","I000025","D","522","645","90.94","HI","46","Daniel K. Inouye","","https://api.propublica.org/congress/v1/members/I000025.json","",""
"","","","","C000127","D","580","645","91.05","WA","47","Maria Cantwell","","https://api.propublica.org/congress/v1/members/C000127.json","",""
"","","","","S001141","R","581","645","91.07","AL","48","Jeff Sessions","","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","K000305","D","582","645","91.08","WI","49","Herb Kohl","","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","M001162","R","568","645","91.17","FL","50","Mel Martinez","","https://api.propublica.org/congress/v1/members/M001162.json","",""
"","","","","R000361","D","458","645","91.24","WV","51","John D. Rockefeller IV","","https://api.propublica.org/congress/v1/members/R000361.json","",""
"","","","","T000250","R","573","645","91.24","SD","52","John Thune","","https://api.propublica.org/congress/v1/members/T000250.json","",""
"","","","","M001153","R","566","645","91.29","AK","53","Lisa Murkowski","","https://api.propublica.org/congress/v1/members/M001153.json","",""
"","","","","H001016","R","583","645","91.38","TX","54","Kay Bailey Hutchison","","https://api.propublica.org/congress/v1/members/H001016.json","",""
"","","","","T000162","R","567","645","91.45","WY","55","Craig Thomas","","https://api.propublica.org/congress/v1/members/T000162.json","",""
"","","","","H000206","D","579","645","91.47","IA","56","Tom Harkin","","https://api.propublica.org/congress/v1/members/H000206.json","",""
"","","","","S000059","R","563","645","91.54","PA","57","Richard J. Santorum","Defeated for reelection","https://api.propublica.org/congress/v1/members/S000059.json","",""
"","","","","A000109","R","587","645","91.58","CO","58","Wayne A. Allard","","https://api.propublica.org/congress/v1/members/A000109.json","",""
"","","","","D000388","D","565","645","91.72","CT","59","Christopher J. Dodd","","https://api.propublica.org/congress/v1/members/D000388.json","",""
"","","","","M000639","D","244","279","91.73","NJ","60","Robert Menendez","","https://api.propublica.org/congress/v1/members/M000639.json","",""
"","","","","B000611","R","590","645","91.76","MO","61","Christopher S. Bond","","https://api.propublica.org/congress/v1/members/B000611.json","",""
"","","","","S000320","R","584","645","91.97","AL","62","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","M001111","D","589","645","92.03","WA","63","Patty Murray","","https://api.propublica.org/congress/v1/members/M001111.json","",""
"","","","","F000062","D","584","645","92.11","CA","64","Dianne Feinstein","","https://api.propublica.org/congress/v1/members/F000062.json","",""
"","","","","E000285","R","561","645","92.12","WY","65","Michael B. Enzi","","https://api.propublica.org/congress/v1/members/E000285.json","",""
"","","","","C001056","R","587","645","92.15","TX","66","John Cornyn","","https://api.propublica.org/congress/v1/members/C001056.json","",""
"","","","","S000770","D","588","645","92.31","MI","67","Debbie Stabenow","","https://api.propublica.org/congress/v1/members/S000770.json","",""
"","","","","S000148","D","588","645","92.31","NY","68","Charles E. Schumer","","https://api.propublica.org/congress/v1/members/S000148.json","",""
"","","","","B001126","R","579","645","92.34","MT","69","Conrad Burns","Defeated for reelection","https://api.propublica.org/congress/v1/members/B001126.json","",""
"","","","","A000360","R","582","645","92.38","TN","70","Lamar Alexander","","https://api.propublica.org/congress/v1/members/A000360.json","",""
"","","","","C000858","R","587","645","92.44","ID","71","Larry E. Craig","","https://api.propublica.org/congress/v1/members/C000858.json","",""
"","","","","L000447","R","551","645","92.61","MS","72","Trent Lott","","https://api.propublica.org/congress/v1/members/L000447.json","",""
"","","","","L000174","D","595","645","92.68","VT","73","Patrick J. Leahy","","https://api.propublica.org/congress/v1/members/L000174.json","",""
"","","","","A000121","R","596","645","92.69","VA","74","George Felix Allen","Defeated for reelection","https://api.propublica.org/congress/v1/members/A000121.json","",""
"","","","","R000146","D","597","645","92.7","NV","75","Harry Reid","","https://api.propublica.org/congress/v1/members/R000146.json","",""
"","","","","D000407","R","572","645","92.71","NM","76","Pete V. Domenici","","https://api.propublica.org/congress/v1/members/D000407.json","",""
"","","","","G000386","R","598","645","92.71","IA","77","Charles E. Grassley","","https://api.propublica.org/congress/v1/members/G000386.json","",""
"","","","","B000711","D","574","645","92.73","CA","78","Barbara Boxer","","https://api.propublica.org/congress/v1/members/B000711.json","",""
"","","","","D000596","D","569","645","92.82","MN","79","Mark Dayton","Retired","https://api.propublica.org/congress/v1/members/D000596.json","",""
"","","","","D000601","R","593","645","92.95","NC","80","Elizabeth H. Dole","","https://api.propublica.org/congress/v1/members/D000601.json","",""
"","","","","B001066","R","581","645","92.96","KY","81","Jim Bunning","","https://api.propublica.org/congress/v1/members/B001066.json","",""
"","","","","C001041","D","585","645","93.0","NY","82","Hillary Rodham Clinton","","https://api.propublica.org/congress/v1/members/C001041.json","",""
"","","","","L000123","D","586","645","93.02","NJ","83","Frank R. Lautenberg","","https://api.propublica.org/congress/v1/members/L000123.json","",""
"","","","","C000567","R","588","645","93.04","MS","84","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","K000148","D","576","645","93.05","MA","85","John Kerry","","https://api.propublica.org/congress/v1/members/K000148.json","",""
"","","","","I000055","R","591","645","93.07","GA","86","Johnny Isakson","","https://api.propublica.org/congress/v1/members/I000055.json","",""
"","","","","C000286","R","585","645","93.15","GA","87","Saxby Chambliss","","https://api.propublica.org/congress/v1/members/C000286.json","",""
"","","","","K000105","D","584","645","93.29","MA","88","Edward M. Kennedy","","https://api.propublica.org/congress/v1/members/K000105.json","",""
"","","","","L000261","D","600","645","93.31","MI","89","Carl Levin","","https://api.propublica.org/congress/v1/members/L000261.json","",""
"","","","","A000069","D","587","645","93.32","HI","90","Daniel K. Akaka","","https://api.propublica.org/congress/v1/members/A000069.json","",""
"","","","","S000064","D","596","645","93.42","MD","91","Paul S. Sarbanes","Retired","https://api.propublica.org/congress/v1/members/S000064.json","",""
"","","","","R000122","D","602","645","93.48","RI","92","Jack Reed","","https://api.propublica.org/congress/v1/members/R000122.json","",""
"","","","","R000307","R","595","645","93.55","KS","93","Pat Roberts","","https://api.propublica.org/congress/v1/members/R000307.json","",""
"","","","","D000563","D","599","645","93.89","IL","94","Richard J. Durbin","","https://api.propublica.org/congress/v1/members/D000563.json","",""
"","","","","B000382","R","596","645","94.01","UT","95","Robert F. Bennett","","https://api.propublica.org/congress/v1/members/B000382.json","",""
"","","","","O000167","D","596","645","94.01","IL","96","Barack Obama","","https://api.propublica.org/congress/v1/members/O000167.json","",""
"","","","","C000880","R","603","645","94.07","ID","97","Michael D. Crapo","","https://api.propublica.org/congress/v1/members/C000880.json","",""
"","","","","F000439","R","603","645","94.07","TN","98","William H. Frist","Retired","https://api.propublica.org/congress/v1/members/F000439.json","",""
"","","","","H000338","R","590","645","94.55","UT","99","Orrin G. Hatch","","https://api.propublica.org/congress/v1/members/H000338.json","",""
"","","","","M000355","R","612","645","95.03","KY","100","Mitch McConnell","","https://api.propublica.org/congress/v1/members/M000355.json","",""
"","","","","M000702","D","585","645","95.43","MD","101","Barbara A. Mikulski","","https://api.propublica.org/congress/v1/members/M000702.json","",""
