"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","102","0","J000072","R","310","550","60.31","VT","1","James M. Jeffords","","https://api.propublica.org/congress/v1/members/J000072.json","102","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","H000343","R","354","550","65.19","OR","2","Mark Odom Hatfield","","https://api.propublica.org/congress/v1/members/H000343.json","",""
"","","","","S000320","D","368","550","66.91","AL","3","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","H000445","D","368","550","67.15","AL","4","Howell Thomas Heflin","","https://api.propublica.org/congress/v1/members/H000445.json","",""
"","","","","S000709","R","373","550","69.72","PA","5","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","C000269","R","377","550","69.94","RI","6","John H. Chafee","","https://api.propublica.org/congress/v1/members/C000269.json","",""
"","","","","H000725","D","388","550","70.55","SC","7","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","P000009","R","384","550","71.64","OR","8","Robert William Packwood","","https://api.propublica.org/congress/v1/members/P000009.json","",""
"","","","","C000598","R","396","550","72.53","ME","9","William Sebastian Cohen","","https://api.propublica.org/congress/v1/members/C000598.json","",""
"","","","","D000566","R","388","550","72.66","MN","10","David Ferdinand Durenberger","","https://api.propublica.org/congress/v1/members/D000566.json","",""
"","","","","C000705","D","410","550","75.51","ND","11","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","S000606","R","417","550","76.09","NH","12","Bob Smith","","https://api.propublica.org/congress/v1/members/S000606.json","",""
"","","","","B000639","D","398","550","76.69","OK","13","David Lyle Boren","","https://api.propublica.org/congress/v1/members/B000639.json","",""
"","","","","J000189","D","420","550","77.35","LA","14","John Bennett Johnston","","https://api.propublica.org/congress/v1/members/J000189.json","",""
"","","","","D000185","D","414","550","77.82","AZ","15","Dennis Webster DeConcini","","https://api.propublica.org/congress/v1/members/D000185.json","",""
"","","","","B000780","D","413","550","77.92","LA","16","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
