"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","103","0","I000024","R","0","2","0.0","OK","1","James M. Inhofe","","https://api.propublica.org/congress/v1/members/I000024.json","102","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","J000072","R","400","726","56.66","VT","2","James M. Jeffords","","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","H000343","R","419","726","60.03","OR","3","Mark Odom Hatfield","","https://api.propublica.org/congress/v1/members/H000343.json","",""
"","","","","S000320","D","398","726","60.12","AL","4","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","C000269","R","459","726","65.67","RI","5","John H. Chafee","","https://api.propublica.org/congress/v1/members/C000269.json","",""
"","","","","S000709","R","460","726","69.7","PA","6","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","D000566","R","478","726","70.19","MN","7","David Ferdinand Durenberger","","https://api.propublica.org/congress/v1/members/D000566.json","",""
"","","","","H000445","D","509","726","73.34","AL","8","Howell Thomas Heflin","","https://api.propublica.org/congress/v1/members/H000445.json","",""
"","","","","P000009","R","533","726","75.5","OR","9","Robert William Packwood","","https://api.propublica.org/congress/v1/members/P000009.json","",""
"","","","","C000598","R","534","726","75.64","ME","10","William Sebastian Cohen","","https://api.propublica.org/congress/v1/members/C000598.json","",""
"","","","","D000030","R","541","726","76.41","MO","11","John Claggett Danforth","","https://api.propublica.org/congress/v1/members/D000030.json","",""
"","","","","R000460","R","553","726","76.91","DE","12","William V. Roth Jr.","","https://api.propublica.org/congress/v1/members/R000460.json","",""
"","","","","K000333","D","85","148","77.98","TX","13","Robert Charles Krueger","","https://api.propublica.org/congress/v1/members/K000333.json","",""
"","","","","N000171","D","544","726","78.05","GA","14","Samuel Augustus Nunn","","https://api.propublica.org/congress/v1/members/N000171.json","",""
"","","","","K000017","R","555","726","78.17","KS","15","Nancy Landon Kassebaum","","https://api.propublica.org/congress/v1/members/K000017.json","",""
"","","","","K000305","D","577","726","79.48","WI","16","Herb Kohl","","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","F000061","D","579","726","79.75","WI","17","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","E000284","D","575","726","79.86","NE","18","J. James Exon","","https://api.propublica.org/congress/v1/members/E000284.json","",""
"","","","","H000725","D","576","726","82.17","SC","19","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","H000463","R","559","726","82.21","NC","20","Jesse Helms","","https://api.propublica.org/congress/v1/members/H000463.json","",""
"","","","","G000445","R","583","726","82.46","NH","21","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","W000154","R","586","726","82.65","VA","22","John W. Warner","","https://api.propublica.org/congress/v1/members/W000154.json","",""
"","","","","B000919","R","599","726","82.85","CO","23","Hank Brown","","https://api.propublica.org/congress/v1/members/B000919.json","",""
"","","","","B000639","D","571","724","82.87","OK","24","David Lyle Boren","34622","https://api.propublica.org/congress/v1/members/B000639.json","",""
"","","","","S000888","R","576","726","83.12","AK","25","Ted F. Stevens","","https://api.propublica.org/congress/v1/members/S000888.json","",""
"","","","","D000185","D","588","726","83.17","AZ","26","Dennis Webster DeConcini","","https://api.propublica.org/congress/v1/members/D000185.json","",""
"","","","","C000077","D","575","726","83.21","CO","27","Ben Nighthorse Campbell","","https://api.propublica.org/congress/v1/members/C000077.json","",""
"","","","","W000092","R","553","726","83.28","WY","28","Malcolm Wallop","","https://api.propublica.org/congress/v1/members/W000092.json","",""
"","","","","B001210","D","605","726","83.33","WV","29","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","C000705","D","600","726","83.33","ND","30","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","G000333","R","603","726","83.4","WA","31","Slade Gorton","","https://api.propublica.org/congress/v1/members/G000333.json","",""
"","","","","S000606","R","597","726","83.5","NH","32","Bob Smith","","https://api.propublica.org/congress/v1/members/S000606.json","",""
"","","","","D000432","D","579","726","83.55","ND","33","Byron L. Dorgan","","https://api.propublica.org/congress/v1/members/D000432.json","",""
"","","","","L000304","D","601","726","83.94","CT","34","Joseph I. Lieberman","","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","J000189","D","591","726","84.07","LA","35","John Bennett Johnston","","https://api.propublica.org/congress/v1/members/J000189.json","",""
"","","","","K000146","D","603","726","84.1","NE","36","J. Robert Kerrey","","https://api.propublica.org/congress/v1/members/K000146.json","",""
"","","","","B000780","D","591","726","84.19","LA","37","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
"","","","","L000123","D","607","726","84.19","NJ","38","Frank R. Lautenberg","","https://api.propublica.org/congress/v1/members/L000123.json","",""
"","","","","D000018","R","593","726","84.23","NY","39","Alfonse M. D'Amato","","https://api.propublica.org/congress/v1/members/D000018.json","",""
"","","","","F000437","R","601","726","84.53","NC","40","Lauch Faircloth","","https://api.propublica.org/congress/v1/members/F000437.json","",""
"","","","","M000303","R","586","726","84.8","AZ","41","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","S000068","D","609","726","84.82","TN","42","James Ralph Sasser","","https://api.propublica.org/congress/v1/members/S000068.json","",""
"","","","","B000468","D","609","726","84.82","NM","43","Jeff Bingaman","","https://api.propublica.org/congress/v1/members/B000468.json","",""
"","","","","L000504","R","615","726","85.3","IN","44","Richard G. Lugar","","https://api.propublica.org/congress/v1/members/L000504.json","",""
"","","","","B000611","R","597","726","85.41","MO","45","Christopher S. Bond","","https://api.propublica.org/congress/v1/members/B000611.json","",""
"","","","","D000407","R","607","726","85.49","NM","46","Pete V. Domenici","","https://api.propublica.org/congress/v1/members/D000407.json","",""
"","","","","B001225","D","595","726","85.98","NJ","47","William Warren Bradley","","https://api.propublica.org/congress/v1/members/B001225.json","",""
"","","","","B000993","D","618","726","86.07","NV","48","Richard H. Bryan","","https://api.propublica.org/congress/v1/members/B000993.json","",""
"","","","","W000288","D","619","726","86.09","MN","49","Paul D. Wellstone","","https://api.propublica.org/congress/v1/members/W000288.json","",""
"","","","","M000678","D","603","726","86.64","OH","50","Howard Morton Metzenbaum","","https://api.propublica.org/congress/v1/members/M000678.json","",""
"","","","","R000295","D","625","726","86.69","VA","51","Charles S. Robb","","https://api.propublica.org/congress/v1/members/R000295.json","",""
"","","","","B000243","D","613","726","86.7","MT","52","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","M000236","D","621","726","86.73","TN","53","Harlan Mathews","appointed to replace Al Gore; not a candidate for reelection","https://api.propublica.org/congress/v1/members/M000236.json","",""
"","","","","N000102","R","617","726","86.78","OK","54","Don Nickles","","https://api.propublica.org/congress/v1/members/N000102.json","",""
"","","","","P000513","R","618","726","86.92","SD","55","Larry Lee Pressler","","https://api.propublica.org/congress/v1/members/P000513.json","",""
"","","","","G000386","R","628","726","86.98","IA","56","Charles E. Grassley","","https://api.propublica.org/congress/v1/members/G000386.json","",""
"","","","","G000352","D","630","726","87.14","FL","57","Bob Graham","","https://api.propublica.org/congress/v1/members/G000352.json","",""
"","","","","C000542","R","625","726","87.17","IN","58","Daniel Coats","","https://api.propublica.org/congress/v1/members/C000542.json","",""
"","","","","F000268","D","632","726","87.41","KY","59","Wendell H. Ford","","https://api.propublica.org/congress/v1/members/F000268.json","",""
"","","","","S000423","D","628","726","87.83","IL","60","Paul Martin Simon","","https://api.propublica.org/congress/v1/members/S000423.json","",""
"","","","","R000146","D","626","726","87.92","NV","61","Harry Reid","","https://api.propublica.org/congress/v1/members/R000146.json","",""
"","","","","C000567","R","632","726","88.15","MS","62","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","B001057","D","629","726","88.22","AR","63","Dale Bumpers","","https://api.propublica.org/congress/v1/members/B001057.json","",""
"","","","","F000062","D","629","726","88.34","CA","64","Dianne Feinstein","","https://api.propublica.org/congress/v1/members/F000062.json","",""
"","","","","M000019","R","640","726","88.52","FL","65","Connie Mack","","https://api.propublica.org/congress/v1/members/M000019.json","",""
"","","","","H001016","R","489","578","88.59","TX","66","Kay Bailey Hutchison","","https://api.propublica.org/congress/v1/members/H001016.json","",""
"","","","","B001126","R","637","726","88.6","MT","67","Conrad Burns","","https://api.propublica.org/congress/v1/members/B001126.json","",""
"","","","","P000556","D","599","726","88.61","AR","68","David Hampton Pryor","","https://api.propublica.org/congress/v1/members/P000556.json","",""
"","","","","M001085","R","595","726","88.81","AK","69","Frank H. Murkowski","","https://api.propublica.org/congress/v1/members/M001085.json","",""
"","","","","B000711","D","637","726","89.22","CA","70","Barbara Boxer","","https://api.propublica.org/congress/v1/members/B000711.json","",""
"","","","","S000429","R","625","726","89.54","WY","71","Alan Kooi Simpson","","https://api.propublica.org/congress/v1/members/S000429.json","",""
"","","","","G000236","D","643","726","89.55","OH","72","John H. Glenn Jr.","","https://api.propublica.org/congress/v1/members/G000236.json","",""
"","","","","C000858","R","645","726","89.71","ID","73","Larry E. Craig","","https://api.propublica.org/congress/v1/members/C000858.json","",""
"","","","","H000206","D","632","726","89.77","IA","74","Tom Harkin","","https://api.propublica.org/congress/v1/members/H000206.json","",""
"","","","","G000365","R","598","726","89.79","TX","75","Phil Gramm","","https://api.propublica.org/congress/v1/members/G000365.json","",""
"","","","","W000665","D","641","726","90.03","PA","76","Harris Wofford","","https://api.propublica.org/congress/v1/members/W000665.json","",""
"","","","","M001054","D","653","726","90.07","NY","77","Daniel Patrick Moynihan","","https://api.propublica.org/congress/v1/members/M001054.json","",""
"","","","","M001025","D","637","726","90.1","IL","78","Carol Moseley-Braun","","https://api.propublica.org/congress/v1/members/M001025.json","",""
"","","","","C000813","R","634","726","90.31","GA","79","Paul Coverdell","","https://api.propublica.org/congress/v1/members/C000813.json","",""
"","","","","K000088","R","653","726","90.32","ID","80","Dirk Kempthorne","","https://api.propublica.org/congress/v1/members/K000088.json","",""
"","","","","M000355","R","645","726","90.34","KY","81","Mitch McConnell","","https://api.propublica.org/congress/v1/members/M000355.json","",""
"","","","","B000444","D","628","726","90.36","DE","82","Joseph R. Biden Jr.","","https://api.propublica.org/congress/v1/members/B000444.json","",""
"","","","","D000064","D","653","726","90.44","SD","83","Thomas A. Daschle","","https://api.propublica.org/congress/v1/members/D000064.json","",""
"","","","","L000447","R","637","726","90.61","MS","84","Trent Lott","","https://api.propublica.org/congress/v1/members/L000447.json","",""
"","","","","D000388","D","633","726","90.69","CT","85","Christopher J. Dodd","","https://api.propublica.org/congress/v1/members/D000388.json","",""
"","","","","I000025","D","598","726","90.88","HI","86","Daniel K. Inouye","","https://api.propublica.org/congress/v1/members/I000025.json","",""
"","","","","L000174","D","654","726","90.96","VT","87","Patrick J. Leahy","","https://api.propublica.org/congress/v1/members/L000174.json","",""
"","","","","T000254","R","647","726","91.0","SC","88","Strom Thurmond","","https://api.propublica.org/congress/v1/members/T000254.json","",""
"","","","","P000193","D","652","726","91.06","RI","89","Claiborne de Borda Pell","","https://api.propublica.org/congress/v1/members/P000193.json","",""
"","","","","B000382","R","636","726","91.12","UT","90","Robert F. Bennett","","https://api.propublica.org/congress/v1/members/B000382.json","",""
"","","","","M000702","D","647","726","91.13","MD","91","Barbara A. Mikulski","","https://api.propublica.org/congress/v1/members/M000702.json","",""
"","","","","L000261","D","662","726","91.31","MI","92","Carl Levin","","https://api.propublica.org/congress/v1/members/L000261.json","",""
"","","","","H000338","R","657","726","91.76","UT","93","Orrin G. Hatch","","https://api.propublica.org/congress/v1/members/H000338.json","",""
"","","","","K000148","D","664","726","91.84","MA","94","John Kerry","","https://api.propublica.org/congress/v1/members/K000148.json","",""
"","","","","R000361","D","646","726","92.15","WV","95","John D. Rockefeller IV","","https://api.propublica.org/congress/v1/members/R000361.json","",""
"","","","","M001111","D","634","726","92.29","WA","96","Patty Murray","","https://api.propublica.org/congress/v1/members/M001111.json","",""
