"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","105","0","S000709","R","389","612","68.73","PA","1","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","100","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","J000072","R","414","612","69.0","VT","2","James M. Jeffords","","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","C000269","R","449","612","74.46","RI","3","John H. Chafee","","https://api.propublica.org/congress/v1/members/C000269.json","",""
"","","","","S000663","R","468","612","76.6","ME","4","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","B001210","D","476","612","77.91","WV","5","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","D000018","R","465","612","78.02","NY","6","Alfonse M. D'Amato","","https://api.propublica.org/congress/v1/members/D000018.json","",""
"","","","","C001035","R","481","612","78.59","ME","7","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","H000725","D","454","612","79.79","SC","8","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","B000780","D","486","612","79.8","LA","9","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
"","","","","F000061","D","490","612","80.07","WI","10","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","K000305","D","500","612","81.83","WI","11","Herb Kohl","","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","R000295","D","507","612","82.84","VA","12","Charles S. Robb","","https://api.propublica.org/congress/v1/members/R000295.json","",""
"","","","","M000303","R","495","612","83.61","AZ","13","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","G000352","D","515","612","84.29","FL","14","Bob Graham","","https://api.propublica.org/congress/v1/members/G000352.json","",""
"","","","","S000888","R","513","612","84.51","AK","15","Ted F. Stevens","","https://api.propublica.org/congress/v1/members/S000888.json","",""
"","","","","F000268","D","515","612","84.84","KY","16","Wendell H. Ford","","https://api.propublica.org/congress/v1/members/F000268.json","",""
"","","","","B000993","D","517","612","84.89","NV","17","Richard H. Bryan","","https://api.propublica.org/congress/v1/members/B000993.json","",""
"","","","","W000288","D","503","612","84.97","MN","18","Paul D. Wellstone","","https://api.propublica.org/congress/v1/members/W000288.json","",""
"","","","","L000304","D","517","612","85.03","CT","19","Joseph I. Lieberman","","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","R000146","D","516","612","85.15","NV","20","Harry Reid","","https://api.propublica.org/congress/v1/members/R000146.json","",""
"","","","","M001054","D","501","612","85.35","NY","21","Daniel Patrick Moynihan","","https://api.propublica.org/congress/v1/members/M001054.json","",""
"","","","","R000460","R","507","612","85.35","DE","22","William V. Roth Jr.","","https://api.propublica.org/congress/v1/members/R000460.json","",""
"","","","","B000243","D","508","612","85.52","MT","23","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","F000437","R","503","612","85.54","NC","24","Lauch Faircloth","","https://api.propublica.org/congress/v1/members/F000437.json","",""
"","","","","C000077","R","524","612","86.04","CO","25","Ben Nighthorse Campbell","","https://api.propublica.org/congress/v1/members/C000077.json","",""
