"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","113","0","C001035","R","392","657","59.67","ME","1","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","105","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","M001153","R","377","657","61.8","AK","2","Lisa Murkowski","","https://api.propublica.org/congress/v1/members/M001153.json","",""
"","","","","K000148","D","4","11","80.0","MA","3","John Kerry","Resigned on Feb. 1, 2013 to become Secretary of State.","https://api.propublica.org/congress/v1/members/K000148.json","",""
"","","","","A000368","R","527","657","81.45","NH","4","Kelly Ayotte","","https://api.propublica.org/congress/v1/members/A000368.json","",""
"","","","","K000360","R","504","657","82.62","IL","5","Mark Steven Kirk","","https://api.propublica.org/congress/v1/members/K000360.json","",""
"","","","","F000444","R","525","657","82.68","AZ","6","Jeff Flake","","https://api.propublica.org/congress/v1/members/F000444.json","",""
"","","","","C001100","R","58","82","82.86","NJ","7","Jeffrey S. Chiesa","Filled vacancy created by the death of Democrat Frank R. Lautenberg. Replaced by Cory Booker.","https://api.propublica.org/congress/v1/members/C001100.json","",""
"","","","","H000338","R","532","657","82.87","UT","8","Orrin G. Hatch","","https://api.propublica.org/congress/v1/members/H000338.json","",""
"","","","","H001041","R","540","657","83.98","NV","9","Dean Heller","","https://api.propublica.org/congress/v1/members/H001041.json","",""
"","","","","M000303","R","530","657","84.66","AZ","10","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","R000595","R","522","657","85.29","FL","11","Marco Rubio","","https://api.propublica.org/congress/v1/members/R000595.json","",""
"","","","","C000286","R","495","657","85.34","GA","12","Saxby Chambliss","Announced retirement on Jan. 25, 2013.","https://api.propublica.org/congress/v1/members/C000286.json","",""
"","","","","G000359","R","521","657","85.55","SC","13","Lindsey Graham","","https://api.propublica.org/congress/v1/members/G000359.json","",""
"","","","","P000603","R","547","657","85.6","KY","14","Rand Paul","","https://api.propublica.org/congress/v1/members/P000603.json","",""
