"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","114","0","M001183","D","350","502","70.99","WV","1","Joe Manchin III","","https://api.propublica.org/congress/v1/members/M001183.json","100","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","L000577","R","343","502","73.61","UT","2","Mike Lee","","https://api.propublica.org/congress/v1/members/L000577.json","",""
"","","","","C001035","R","371","502","73.9","ME","3","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","P000603","R","358","502","74.9","KY","4","Rand Paul","","https://api.propublica.org/congress/v1/members/P000603.json","",""
"","","","","K000360","R","363","502","77.07","IL","5","Mark Steven Kirk","Lost in general election.","https://api.propublica.org/congress/v1/members/K000360.json","",""
"","","","","H001069","D","393","502","78.6","ND","6","Heidi Heitkamp","","https://api.propublica.org/congress/v1/members/H001069.json","",""
"","","","","D000607","D","392","502","78.71","IN","7","Joe Donnelly","","https://api.propublica.org/congress/v1/members/D000607.json","",""
"","","","","A000368","R","393","502","79.39","NH","8","Kelly Ayotte","Lost general election to Maggie Hassan.","https://api.propublica.org/congress/v1/members/A000368.json","",""
"","","","","C001098","R","271","502","79.71","TX","9","Ted Cruz","","https://api.propublica.org/congress/v1/members/C001098.json","",""
"","","","","H001041","R","392","502","80.49","NV","10","Dean Heller","","https://api.propublica.org/congress/v1/members/H001041.json","",""
"","","","","M001153","R","393","502","81.7","AK","11","Lisa Murkowski","","https://api.propublica.org/congress/v1/members/M001153.json","",""
"","","","","G000359","R","317","502","83.64","SC","12","Lindsey Graham","","https://api.propublica.org/congress/v1/members/G000359.json","",""
"","","","","S001197","R","416","502","83.7","NE","13","Ben Sasse","","https://api.propublica.org/congress/v1/members/S001197.json","",""
"","","","","P000449","R","419","502","84.65","OH","14","Rob Portman","","https://api.propublica.org/congress/v1/members/P000449.json","",""
"","","","","M001170","D","410","502","85.42","MO","15","Claire McCaskill","","https://api.propublica.org/congress/v1/members/M001170.json","",""
"","","","","F000444","R","411","502","85.45","AZ","16","Jeff Flake","","https://api.propublica.org/congress/v1/members/F000444.json","",""
"","","","","A000360","R","417","502","85.45","TN","17","Lamar Alexander","","https://api.propublica.org/congress/v1/members/A000360.json","",""
"","","","","M000355","R","437","502","87.05","KY","18","Mitch McConnell","","https://api.propublica.org/congress/v1/members/M000355.json","",""
"","","","","S000320","R","423","502","87.76","AL","19","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","L000575","R","440","502","87.82","OK","20","James Lankford","","https://api.propublica.org/congress/v1/members/L000575.json","",""
"","","","","C001071","R","430","502","88.11","TN","21","Bob Corker","","https://api.propublica.org/congress/v1/members/C001071.json","",""
"","","","","S001141","R","431","502","88.32","AL","22","Jeff Sessions","","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","K000383","I","434","502","88.39","ME","23","Angus King","","https://api.propublica.org/congress/v1/members/K000383.json","",""
"","","","","M000934","R","427","502","88.41","KS","24","Jerry Moran","","https://api.propublica.org/congress/v1/members/M000934.json","",""
"","","","","C001047","R","441","502","88.55","WV","25","Shelley Moore Capito","","https://api.propublica.org/congress/v1/members/C001047.json","",""
