"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","111","0","S000709","R","110","172","64.71","PA","1","Arlen Specter","Announced party switch to Democrat on April 28, 2009.","https://api.propublica.org/congress/v1/members/S000709.json","111","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","C001035","R","453","677","66.91","ME","2","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","N000180","D","460","677","67.95","NE","3","Ben Nelson","","https://api.propublica.org/congress/v1/members/N000180.json","",""
"","","","","S000663","R","461","677","68.09","ME","4","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","V000126","R","451","677","69.81","OH","5","George V. Voinovich","Announced retirement at end of 111th Congress.","https://api.propublica.org/congress/v1/members/V000126.json","",""
"","","","","K000360","R","17","30","70.83","IL","6","Mark Steven Kirk","Elected to replace Sen. Roland Burris.","https://api.propublica.org/congress/v1/members/K000360.json","",""
"","","","","B001233","D","473","677","72.21","IN","7","Evan Bayh","Announced retirement on Feb. 15, 2010","https://api.propublica.org/congress/v1/members/B001233.json","",""
"","","","","F000061","D","536","677","79.29","WI","8","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","M001183","D","23","33","79.31","WV","9","Joe Manchin III","Elected to replace Sen. Carte Goodwin","https://api.propublica.org/congress/v1/members/M001183.json","",""
"","","","","M001170","D","532","677","80.36","MO","10","Claire McCaskill","","https://api.propublica.org/congress/v1/members/M001170.json","",""
"","","","","B001268","R","210","261","80.46","MA","11","Scott Brown","Elected to fill the vacancy caused by the death of Edward Kennedy.","https://api.propublica.org/congress/v1/members/B001268.json","",""
"","","","","M001153","R","515","677","80.72","AK","12","Lisa Murkowski","","https://api.propublica.org/congress/v1/members/M001153.json","",""
"","","","","B000611","R","507","677","80.86","MO","13","Christopher S. Bond","Announced retirement at end of 111th Congress.","https://api.propublica.org/congress/v1/members/B000611.json","",""
"","","","","L000035","D","534","677","82.66","AR","14","Blanche Lincoln","","https://api.propublica.org/congress/v1/members/L000035.json","",""
"","","","","G000445","R","506","677","83.22","NH","15","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","L000504","R","559","677","83.31","IN","16","Richard G. Lugar","","https://api.propublica.org/congress/v1/members/L000504.json","",""
"","","","","M001162","R","212","272","83.79","FL","17","Mel Martinez","Announced retirement on August 8, 2009","https://api.propublica.org/congress/v1/members/M001162.json","",""
"","","","","C000567","R","563","677","84.03","MS","18","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","A000360","R","563","677","84.28","TN","19","Lamar Alexander","","https://api.propublica.org/congress/v1/members/A000360.json","",""
"","","","","W000803","D","577","677","86.38","VA","20","Jim Webb","","https://api.propublica.org/congress/v1/members/W000803.json","",""
"","","","","S000320","R","593","677","87.85","AL","21","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","C001071","R","598","677","88.99","TN","22","Bob Corker","","https://api.propublica.org/congress/v1/members/C001071.json","",""
"","","","","B000382","R","552","677","89.18","UT","23","Robert F. Bennett","","https://api.propublica.org/congress/v1/members/B000382.json","",""
"","","","","H000338","R","589","677","89.24","UT","24","Orrin G. Hatch","","https://api.propublica.org/congress/v1/members/H000338.json","",""
"","","","","B001066","R","568","677","89.73","KY","25","Jim Bunning","","https://api.propublica.org/congress/v1/members/B001066.json","",""
"","","","","D000595","R","590","677","89.8","SC","26","Jim DeMint","","https://api.propublica.org/congress/v1/members/D000595.json","",""
"","","","","C000560","R","594","677","89.86","OK","27","Tom Coburn","","https://api.propublica.org/congress/v1/members/C000560.json","",""
"","","","","B001210","D","284","596","89.87","WV","28","Robert C. Byrd","Died on June 28, 2010.","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","L000304","ID","591","677","89.95","CT","29","Joseph I. Lieberman","","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","G000386","R","609","677","89.96","IA","30","Charles E. Grassley","","https://api.propublica.org/congress/v1/members/G000386.json","",""
"","","","","W000437","R","601","677","89.97","MS","31","Roger Wicker","","https://api.propublica.org/congress/v1/members/W000437.json","",""
"","","","","P000590","D","606","677","90.18","AR","32","Mark Pryor","","https://api.propublica.org/congress/v1/members/P000590.json","",""
"","","","","B001267","D","603","667","90.4","CO","33","Michael Bennet","appointed to replace Ken Salazar","https://api.propublica.org/congress/v1/members/B001267.json","",""
"","","","","H001049","D","605","677","90.57","NC","34","Kay Hagan","","https://api.propublica.org/congress/v1/members/H001049.json","",""
"","","","","E000194","R","599","677","90.76","NV","35","John Ensign","","https://api.propublica.org/congress/v1/members/E000194.json","",""
"","","","","K000352","R","605","677","90.84","AZ","36","Jon Kyl","","https://api.propublica.org/congress/v1/members/K000352.json","",""
"","","","","K000367","D","610","677","90.91","MN","37","Amy Klobuchar","","https://api.propublica.org/congress/v1/members/K000367.json","",""
"","","","","L000572","R","361","404","91.16","FL","38","George S. LeMieux","","https://api.propublica.org/congress/v1/members/L000572.json","",""
"","","","","W000805","D","599","677","91.31","VA","39","Mark Warner","","https://api.propublica.org/congress/v1/members/W000805.json","",""
"","","","","B000953","R","592","677","91.5","KS","40","Sam Brownback","Running for governor.","https://api.propublica.org/congress/v1/members/B000953.json","",""
"","","","","J000291","R","593","677","91.65","NE","41","Mike Johanns","","https://api.propublica.org/congress/v1/members/J000291.json","",""
"","","","","S001141","R","597","677","91.71","AL","42","Jeff Sessions","","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","H001016","R","560","677","91.8","TX","43","Kay Bailey Hutchison","","https://api.propublica.org/congress/v1/members/H001016.json","",""
"","","","","U000038","D","616","677","91.8","CO","44","Mark Udall","","https://api.propublica.org/congress/v1/members/U000038.json","",""
"","","","","D000432","D","612","677","91.89","ND","45","Byron L. Dorgan","Announced retirement at end of 111th Congress.","https://api.propublica.org/congress/v1/members/D000432.json","",""
"","","","","R000307","R","583","677","91.96","KS","46","Pat Roberts","","https://api.propublica.org/congress/v1/members/R000307.json","",""
"","","","","C000705","D","609","677","91.99","ND","47","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","I000024","R","600","677","92.02","OK","48","James M. Inhofe","","https://api.propublica.org/congress/v1/members/I000024.json","",""
"","","","","T000464","D","619","677","92.11","MT","49","Jon Tester","","https://api.propublica.org/congress/v1/members/T000464.json","",""
"","","","","L000550","D","596","677","92.26","LA","50","Mary L. Landrieu","","https://api.propublica.org/congress/v1/members/L000550.json","",""
