"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","112","0","C001035","R","316","487","64.89","ME","1","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","102","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","B001268","R","318","487","65.84","MA","2","Scott Brown","Defeated for reelection.","https://api.propublica.org/congress/v1/members/B001268.json","",""
"","","","","S000663","R","327","487","67.15","ME","3","Olympia J. Snowe","Announced retirement on Feb. 28, 2012.","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","M001153","R","333","487","71.92","AK","4","Lisa Murkowski","","https://api.propublica.org/congress/v1/members/M001153.json","",""
"","","","","P000603","R","338","487","72.53","KY","5","Rand Paul","","https://api.propublica.org/congress/v1/members/P000603.json","",""
"","","","","L000577","R","347","487","73.21","UT","6","Mike Lee","","https://api.propublica.org/congress/v1/members/L000577.json","",""
"","","","","H001041","R","289","421","73.91","NV","7","Dean Heller","Appointed to replace John Ensign.","https://api.propublica.org/congress/v1/members/H001041.json","",""
"","","","","D000595","R","320","487","74.07","SC","8","Jim DeMint","Accepted job as President of The Heritage Foundation.","https://api.propublica.org/congress/v1/members/D000595.json","",""
"","","","","C000567","R","392","487","81.16","MS","9","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","H001061","R","389","487","81.55","ND","10","John Hoeven","","https://api.propublica.org/congress/v1/members/H001061.json","",""
"","","","","V000127","R","366","487","81.88","LA","11","David Vitter","","https://api.propublica.org/congress/v1/members/V000127.json","",""
"","","","","B000575","R","392","487","82.35","MO","12","Roy Blunt","","https://api.propublica.org/congress/v1/members/B000575.json","",""
"","","","","M001183","D","402","487","83.06","WV","13","Joe Manchin III","","https://api.propublica.org/congress/v1/members/M001183.json","",""
"","","","","M000934","R","385","487","83.33","KS","14","Jerry Moran","","https://api.propublica.org/congress/v1/members/M000934.json","",""
"","","","","L000504","R","402","487","83.58","IN","15","Richard G. Lugar","Defeated in Republican primary on May 8, 2012.","https://api.propublica.org/congress/v1/members/L000504.json","",""
"","","","","C000560","R","382","487","83.96","OK","16","Tom Coburn","","https://api.propublica.org/congress/v1/members/C000560.json","",""
"","","","","N000180","D","409","487","84.68","NE","17","Ben Nelson","Announced retirement on Dec. 27, 2011.","https://api.propublica.org/congress/v1/members/N000180.json","",""
"","","","","M001170","D","398","487","84.68","MO","18","Claire McCaskill","","https://api.propublica.org/congress/v1/members/M001170.json","",""
"","","","","G000359","R","403","487","84.84","SC","19","Lindsey Graham","","https://api.propublica.org/congress/v1/members/G000359.json","",""
"","","","","R000595","R","387","487","85.05","FL","20","Marco Rubio","","https://api.propublica.org/congress/v1/members/R000595.json","",""
"","","","","R000584","R","406","487","85.65","ID","21","Jim Risch","","https://api.propublica.org/congress/v1/members/R000584.json","",""
"","","","","G000386","R","418","487","85.83","IA","22","Charles E. Grassley","","https://api.propublica.org/congress/v1/members/G000386.json","",""
"","","","","E000194","R","49","63","85.96","NV","23","John Ensign","Resigned effective May 3, 2011.","https://api.propublica.org/congress/v1/members/E000194.json","",""
"","","","","I000024","R","394","487","86.03","OK","24","James M. Inhofe","","https://api.propublica.org/congress/v1/members/I000024.json","",""
"","","","","H001016","R","392","487","86.34","TX","25","Kay Bailey Hutchison","Announced retirement on Jan. 13, 2011.","https://api.propublica.org/congress/v1/members/H001016.json","",""
"","","","","J000291","R","419","487","86.39","NE","26","Mike Johanns","","https://api.propublica.org/congress/v1/members/J000291.json","",""
"","","","","T000461","R","413","487","86.4","PA","27","Patrick J. Toomey","","https://api.propublica.org/congress/v1/members/T000461.json","",""
"","","","","J000293","R","421","487","86.63","WI","28","Ron Johnson","","https://api.propublica.org/congress/v1/members/J000293.json","",""
"","","","","C000880","R","415","487","86.64","ID","29","Michael D. Crapo","","https://api.propublica.org/congress/v1/members/C000880.json","",""
"","","","","M000303","R","396","487","86.65","AZ","30","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","W000437","R","410","487","86.68","MS","31","Roger Wicker","","https://api.propublica.org/congress/v1/members/W000437.json","",""
"","","","","A000360","R","409","487","86.84","TN","32","Lamar Alexander","","https://api.propublica.org/congress/v1/members/A000360.json","",""
"","","","","H000338","R","382","487","87.02","UT","33","Orrin G. Hatch","","https://api.propublica.org/congress/v1/members/H000338.json","",""
"","","","","K000360","R","195","487","87.44","IL","34","Mark Steven Kirk","","https://api.propublica.org/congress/v1/members/K000360.json","",""
"","","","","R000307","R","410","487","87.61","KS","35","Pat Roberts","","https://api.propublica.org/congress/v1/members/R000307.json","",""
"","","","","S000320","R","425","487","87.81","AL","36","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","C001071","R","420","487","87.87","TN","37","Bob Corker","","https://api.propublica.org/congress/v1/members/C001071.json","",""
"","","","","S001141","R","424","487","88.33","AL","38","Jeff Sessions","","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","A000368","R","429","487","88.82","NH","39","Kelly Ayotte","","https://api.propublica.org/congress/v1/members/A000368.json","",""
"","","","","P000590","D","426","487","88.94","AR","40","Mark Pryor","","https://api.propublica.org/congress/v1/members/P000590.json","",""
"","","","","C000542","R","431","487","89.23","IN","41","Daniel Coats","","https://api.propublica.org/congress/v1/members/C000542.json","",""
"","","","","K000352","R","432","487","89.44","AZ","42","Jon Kyl","Announced retirement on Feb. 10, 2011.","https://api.propublica.org/congress/v1/members/K000352.json","",""
"","","","","B001135","R","409","487","89.5","NC","43","Richard M. Burr","","https://api.propublica.org/congress/v1/members/B001135.json","",""
"","","","","P000449","R","432","487","89.63","OH","44","Rob Portman","","https://api.propublica.org/congress/v1/members/P000449.json","",""
"","","","","B001236","R","427","487","89.71","AR","45","John Boozman","","https://api.propublica.org/congress/v1/members/B001236.json","",""
"","","","","L000304","I","420","487","89.74","CT","46","Joseph I. Lieberman","Announced retirement on Jan. 19, 2011.","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","B001261","R","429","487","89.94","WY","47","John Barrasso","","https://api.propublica.org/congress/v1/members/B001261.json","",""
"","","","","S000033","I","424","487","90.02","VT","48","Bernard Sanders","","https://api.propublica.org/congress/v1/members/S000033.json","",""
"","","","","I000055","R","429","487","90.13","GA","49","Johnny Isakson","","https://api.propublica.org/congress/v1/members/I000055.json","",""
"","","","","W000803","D","420","487","90.13","VA","50","Jim Webb","Announced retirement on Feb. 9, 2011.","https://api.propublica.org/congress/v1/members/W000803.json","",""
"","","","","C000286","R","425","487","90.23","GA","51","Saxby Chambliss","","https://api.propublica.org/congress/v1/members/C000286.json","",""
"","","","","T000464","D","437","487","90.29","MT","52","Jon Tester","","https://api.propublica.org/congress/v1/members/T000464.json","",""
"","","","","B000243","D","437","487","90.48","MT","53","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","E000285","R","430","487","90.53","WY","54","Michael B. Enzi","","https://api.propublica.org/congress/v1/members/E000285.json","",""
"","","","","T000250","R","431","487","90.55","SD","55","John Thune","","https://api.propublica.org/congress/v1/members/T000250.json","",""
"","","","","C001056","R","437","487","90.85","TX","56","John Cornyn","","https://api.propublica.org/congress/v1/members/C001056.json","",""
"","","","","L000550","D","431","487","91.12","LA","57","Mary L. Landrieu","","https://api.propublica.org/congress/v1/members/L000550.json","",""
"","","","","B001265","D","435","487","91.2","AK","58","Mark Begich","","https://api.propublica.org/congress/v1/members/B001265.json","",""
"","","","","H001049","D","436","487","91.21","NC","59","Kay Hagan","","https://api.propublica.org/congress/v1/members/H001049.json","",""
"","","","","M000355","R","446","487","91.58","KY","60","Mitch McConnell","","https://api.propublica.org/congress/v1/members/M000355.json","",""
"","","","","C000174","D","449","487","92.39","DE","61","Thomas R. Carper","","https://api.propublica.org/congress/v1/members/C000174.json","",""
"","","","","W000805","D","429","487","92.46","VA","62","Mark Warner","","https://api.propublica.org/congress/v1/members/W000805.json","",""
"","","","","U000038","D","443","487","92.68","CO","63","Mark Udall","","https://api.propublica.org/congress/v1/members/U000038.json","",""
"","","","","S000770","D","446","487","92.92","MI","64","Debbie Stabenow","","https://api.propublica.org/congress/v1/members/S000770.json","",""
"","","","","M001176","D","446","487","92.92","OR","65","Jeff Merkley","","https://api.propublica.org/congress/v1/members/M001176.json","",""
"","","","","H000206","D","438","487","93.19","IA","66","Tom Harkin","","https://api.propublica.org/congress/v1/members/H000206.json","",""
"","","","","K000367","D","452","487","93.2","MN","67","Amy Klobuchar","","https://api.propublica.org/congress/v1/members/K000367.json","",""
"","","","","C001070","D","448","487","93.33","PA","68","Bob Casey","","https://api.propublica.org/congress/v1/members/C001070.json","",""
"","","","","N000032","D","452","487","93.39","FL","69","Bill Nelson","","https://api.propublica.org/congress/v1/members/N000032.json","",""
"","","","","C000127","D","453","487","93.4","WA","70","Maria Cantwell","","https://api.propublica.org/congress/v1/members/C000127.json","",""
"","","","","B001267","D","450","487","93.56","CO","71","Michael Bennet","","https://api.propublica.org/congress/v1/members/B001267.json","",""
"","","","","K000305","D","440","487","93.62","WI","72","Herb Kohl","Announced retirement on May 13, 2011.","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","C000705","D","445","487","93.68","ND","73","Kent Conrad","Announced retirement on Jan. 18, 2011.","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","W000779","D","442","487","93.84","OR","74","Ron Wyden","","https://api.propublica.org/congress/v1/members/W000779.json","",""
"","","","","L000261","D","458","487","94.05","MI","75","Carl Levin","","https://api.propublica.org/congress/v1/members/L000261.json","",""
"","","","","L000174","D","448","487","94.12","VT","76","Patrick J. Leahy","","https://api.propublica.org/congress/v1/members/L000174.json","",""
"","","","","R000146","D","458","487","94.24","NV","77","Harry Reid","","https://api.propublica.org/congress/v1/members/R000146.json","",""
"","","","","M000702","D","453","487","94.38","MD","78","Barbara A. Mikulski","","https://api.propublica.org/congress/v1/members/M000702.json","",""
"","","","","B000944","D","454","487","94.39","OH","79","Sherrod Brown","","https://api.propublica.org/congress/v1/members/B000944.json","",""
"","","","","B000711","D","423","487","94.42","CA","80","Barbara Boxer","","https://api.propublica.org/congress/v1/members/B000711.json","",""
"","","","","R000361","D","419","487","94.8","WV","81","John D. Rockefeller IV","","https://api.propublica.org/congress/v1/members/R000361.json","",""
"","","","","D000563","D","457","487","94.81","IL","82","Richard J. Durbin","","https://api.propublica.org/congress/v1/members/D000563.json","",""
"","","","","F000062","D","454","487","94.98","CA","83","Dianne Feinstein","","https://api.propublica.org/congress/v1/members/F000062.json","",""
"","","","","M001111","D","455","487","94.99","WA","84","Patty Murray","","https://api.propublica.org/congress/v1/members/M001111.json","",""
"","","","","S001194","D","19","20","95.0","HI","85","Brian Schatz","","https://api.propublica.org/congress/v1/members/S001194.json","",""
"","","","","I000025","D","407","464","95.09","HI","86","Daniel K. Inouye","Died on Dec. 17, 2012.","https://api.propublica.org/congress/v1/members/I000025.json","",""
"","","","","L000123","D","428","487","95.11","NJ","87","Frank R. Lautenberg","","https://api.propublica.org/congress/v1/members/L000123.json","",""
"","","","","B001277","D","450","487","95.14","CT","88","Richard Blumenthal","","https://api.propublica.org/congress/v1/members/B001277.json","",""
"","","","","A000069","D","453","487","95.17","HI","89","Daniel K. Akaka","Announced retirement on March 2, 2011.","https://api.propublica.org/congress/v1/members/A000069.json","",""
"","","","","W000802","D","461","487","95.25","RI","90","Sheldon Whitehouse","","https://api.propublica.org/congress/v1/members/W000802.json","",""
"","","","","F000457","D","462","487","95.26","MN","91","Al Franken","","https://api.propublica.org/congress/v1/members/F000457.json","",""
"","","","","R000122","D","462","487","95.26","RI","92","Jack Reed","","https://api.propublica.org/congress/v1/members/R000122.json","",""
"","","","","M000639","D","452","487","95.36","NJ","93","Robert Menendez","","https://api.propublica.org/congress/v1/members/M000639.json","",""
"","","","","B000468","D","460","487","95.44","NM","94","Jeff Bingaman","Announced retirement on Feb. 18, 2011.","https://api.propublica.org/congress/v1/members/B000468.json","",""
"","","","","S001181","D","460","487","95.63","NH","95","Jeanne Shaheen","","https://api.propublica.org/congress/v1/members/S001181.json","",""
"","","","","J000177","D","461","487","95.64","SD","96","Tim Johnson","","https://api.propublica.org/congress/v1/members/J000177.json","",""
"","","","","G000555","D","463","487","95.66","NY","97","Kirsten E. Gillibrand","","https://api.propublica.org/congress/v1/members/G000555.json","",""
"","","","","C001088","D","465","487","95.68","DE","98","Christopher A. Coons","","https://api.propublica.org/congress/v1/members/C001088.json","",""
"","","","","K000148","D","443","487","95.89","MA","99","John Kerry","","https://api.propublica.org/congress/v1/members/K000148.json","",""
"","","","","U000039","D","457","487","96.41","NM","100","Tom Udall","","https://api.propublica.org/congress/v1/members/U000039.json","",""
"","","","","S000148","D","461","487","96.44","NY","101","Charles E. Schumer","","https://api.propublica.org/congress/v1/members/S000148.json","",""
"","","","","C000141","D","469","487","96.5","MD","102","Benjamin L. Cardin","","https://api.propublica.org/congress/v1/members/C000141.json","",""
