"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","107","0","B001237","I","9","14","64.29","MN","1","Dean Barkley","","https://api.propublica.org/congress/v1/members/B001237.json","102","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","M001141","D","395","633","66.61","GA","2","Zell Bryan Miller","","https://api.propublica.org/congress/v1/members/M001141.json","",""
"","","","","J000072","R","115","170","69.7","VT","3","James M. Jeffords","","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","C001040","R","445","633","70.41","RI","4","Lincoln D. Chafee","","https://api.propublica.org/congress/v1/members/C001040.json","",""
"","","","","N000180","D","471","633","75.24","NE","5","Ben Nelson","","https://api.propublica.org/congress/v1/members/N000180.json","",""
"","","","","S000709","R","471","633","75.6","PA","6","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","M000303","R","454","633","75.67","AZ","7","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","B000780","D","473","633","75.92","LA","8","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
"","","","","S000663","R","487","633","76.94","ME","9","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","C001035","R","496","633","78.36","ME","10","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","B000243","D","494","633","79.81","MT","11","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","F000061","D","512","633","80.88","WI","12","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","F000442","R","513","633","81.04","IL","13","Peter G. Fitzgerald","","https://api.propublica.org/congress/v1/members/F000442.json","",""
"","","","","L000035","D","526","633","83.76","AR","14","Blanche Lincoln","","https://api.propublica.org/congress/v1/members/L000035.json","",""
"","","","","C001034","D","529","633","84.1","GA","15","Max Cleland","","https://api.propublica.org/congress/v1/members/C001034.json","",""
"","","","","S001142","R","529","633","84.91","OR","16","Gordon Harold Smith","","https://api.propublica.org/congress/v1/members/S001142.json","",""
"","","","","L000550","D","524","633","84.93","LA","17","Mary L. Landrieu","","https://api.propublica.org/congress/v1/members/L000550.json","",""
"","","","","B001233","D","540","633","85.44","IN","18","Evan Bayh","","https://api.propublica.org/congress/v1/members/B001233.json","",""
"","","","","C000174","D","542","633","86.31","DE","19","Thomas R. Carper","","https://api.propublica.org/congress/v1/members/C000174.json","",""
"","","","","B001210","D","545","633","86.37","WV","20","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","E000194","R","531","633","87.34","NV","21","John Ensign","","https://api.propublica.org/congress/v1/members/E000194.json","",""
"","","","","T000317","D","514","633","88.32","NJ","22","Robert G. Torricelli","Did not seek reelection","https://api.propublica.org/congress/v1/members/T000317.json","",""
"","","","","F000062","D","552","633","88.46","CA","23","Dianne Feinstein","","https://api.propublica.org/congress/v1/members/F000062.json","",""
"","","","","J000072","I","385","463","88.51","VT","24","James M. Jeffords","Caucuses with the Ds","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","K000352","R","557","633","88.84","AZ","25","Jon Kyl","","https://api.propublica.org/congress/v1/members/K000352.json","",""
"","","","","S000606","R","552","633","88.89","NH","26","Bob Smith","","https://api.propublica.org/congress/v1/members/S000606.json","",""
"","","","","C001043","D","554","633","88.92","MO","27","Jean Carnahan","","https://api.propublica.org/congress/v1/members/C001043.json","",""
"","","","","W000154","R","554","633","89.07","VA","28","John W. Warner","","https://api.propublica.org/congress/v1/members/W000154.json","",""
"","","","","V000126","R","542","633","89.14","OH","29","George V. Voinovich","","https://api.propublica.org/congress/v1/members/V000126.json","",""
"","","","","S000320","R","554","633","89.35","AL","30","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","W000779","D","566","633","89.56","OR","31","Ron Wyden","","https://api.propublica.org/congress/v1/members/W000779.json","",""
"","","","","G000445","R","551","633","89.59","NH","32","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","G000365","R","543","633","89.6","TX","33","Phil Gramm","Resigned 11/30/2002","https://api.propublica.org/congress/v1/members/G000365.json","",""
"","","","","D000294","R","565","633","89.68","OH","34","Michael DeWine","","https://api.propublica.org/congress/v1/members/D000294.json","",""
"","","","","N000032","D","564","633","89.81","FL","35","Bill Nelson","","https://api.propublica.org/congress/v1/members/N000032.json","",""
"","","","","S001141","R","546","633","89.95","AL","36","Jeff Sessions","","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","B000468","D","557","633","89.98","NM","37","Jeff Bingaman","","https://api.propublica.org/congress/v1/members/B000468.json","",""
"","","","","T000457","R","552","633","90.05","TN","38","Fred Thompson","","https://api.propublica.org/congress/v1/members/T000457.json","",""
"","","","","H001015","R","545","633","90.08","AR","39","Tim Hutchinson","","https://api.propublica.org/congress/v1/members/H001015.json","",""
"","","","","G000352","D","570","633","90.19","FL","40","Bob Graham","","https://api.propublica.org/congress/v1/members/G000352.json","",""
"","","","","H001016","R","559","633","90.31","TX","41","Kay Bailey Hutchison","","https://api.propublica.org/congress/v1/members/H001016.json","",""
"","","","","C001042","D","562","633","90.35","NJ","42","Jon Stevens Corzine","","https://api.propublica.org/congress/v1/members/C001042.json","",""
"","","","","C000077","R","557","633","90.42","CO","43","Ben Nighthorse Campbell","","https://api.propublica.org/congress/v1/members/C000077.json","",""
"","","","","C000567","R","570","633","90.48","MS","44","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","K000305","D","562","633","90.79","WI","45","Herb Kohl","","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","C000705","D","572","633","90.94","ND","46","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","J000177","D","569","633","91.04","SD","47","Tim Johnson","","https://api.propublica.org/congress/v1/members/J000177.json","",""
"","","","","B000711","D","555","633","91.13","CA","48","Barbara Boxer","","https://api.propublica.org/congress/v1/members/B000711.json","",""
"","","","","H000725","D","576","633","91.14","SC","49","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","M001111","D","572","633","91.52","WA","50","Patty Murray","","https://api.propublica.org/congress/v1/members/M001111.json","",""
"","","","","S000148","D","571","633","91.8","NY","51","Charles E. Schumer","","https://api.propublica.org/congress/v1/members/S000148.json","",""
"","","","","N000102","R","572","633","91.81","OK","52","Don Nickles","","https://api.propublica.org/congress/v1/members/N000102.json","",""
"","","","","C000127","D","580","633","91.92","WA","53","Maria Cantwell","","https://api.propublica.org/congress/v1/members/C000127.json","",""
"","","","","S000888","R","536","633","91.94","AK","54","Ted F. Stevens","","https://api.propublica.org/congress/v1/members/S000888.json","",""
"","","","","E000285","R","562","633","91.98","WY","55","Michael B. Enzi","","https://api.propublica.org/congress/v1/members/E000285.json","",""
"","","","","B000953","R","568","633","92.06","KS","56","Sam Brownback","","https://api.propublica.org/congress/v1/members/B000953.json","",""
"","","","","K000105","D","557","633","92.07","MA","57","Edward M. Kennedy","","https://api.propublica.org/congress/v1/members/K000105.json","",""
