"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","108","0","M001141","D","209","675","37.73","GA","1","Zell Bryan Miller","","https://api.propublica.org/congress/v1/members/M001141.json","100","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","N000180","D","467","675","71.19","NE","2","Ben Nelson","","https://api.propublica.org/congress/v1/members/N000180.json","",""
"","","","","B000780","D","486","675","73.64","LA","3","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
"","","","","C001040","R","523","675","78.29","RI","4","Lincoln D. Chafee","","https://api.propublica.org/congress/v1/members/C001040.json","",""
"","","","","B000243","D","535","675","81.31","MT","5","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","S000663","R","550","675","81.48","ME","6","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","C001035","R","563","675","83.41","ME","7","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","M000303","R","558","675","84.16","AZ","8","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","L000550","D","561","675","84.87","LA","9","Mary L. Landrieu","","https://api.propublica.org/congress/v1/members/L000550.json","",""
"","","","","S000709","R","554","675","85.1","PA","10","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","C000174","D","567","675","85.52","DE","11","Thomas R. Carper","","https://api.propublica.org/congress/v1/members/C000174.json","",""
"","","","","B001233","D","571","675","85.61","IN","12","Evan Bayh","","https://api.propublica.org/congress/v1/members/B001233.json","",""
"","","","","L000035","D","573","675","85.91","AR","13","Blanche Lincoln","","https://api.propublica.org/congress/v1/members/L000035.json","",""
"","","","","J000072","I","565","675","86.92","VT","14","James M. Jeffords","Caucuses with the Ds","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","C000705","D","584","675","87.16","ND","15","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","H000725","D","545","675","87.2","SC","16","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","P000590","D","591","675","87.82","AR","17","Mark Pryor","","https://api.propublica.org/congress/v1/members/P000590.json","",""
"","","","","B001210","D","581","675","88.84","WV","18","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","G000445","R","592","675","89.83","NH","19","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","F000061","D","608","675","90.07","WI","20","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
