"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","110","0","S000663","R","413","657","62.86","ME","1","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","102","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","C001035","R","433","657","65.91","ME","2","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","S000709","R","447","657","69.09","PA","3","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","S001142","R","460","657","70.55","OR","4","Gordon Harold Smith","","https://api.propublica.org/congress/v1/members/S001142.json","",""
"","","","","V000126","R","474","657","73.49","OH","5","George V. Voinovich","","https://api.propublica.org/congress/v1/members/V000126.json","",""
"","","","","C001057","R","488","657","76.97","MN","6","Norm Coleman","","https://api.propublica.org/congress/v1/members/C001057.json","",""
"","","","","H001028","R","469","657","77.39","NE","7","Chuck T. Hagel","","https://api.propublica.org/congress/v1/members/H001028.json","",""
"","","","","L000504","R","504","657","77.42","IN","8","Richard G. Lugar","","https://api.propublica.org/congress/v1/members/L000504.json","",""
"","","","","C000560","R","480","657","79.08","OK","9","Tom Coburn","","https://api.propublica.org/congress/v1/members/C000560.json","",""
"","","","","M001153","R","511","657","79.6","AK","10","Lisa Murkowski","","https://api.propublica.org/congress/v1/members/M001153.json","",""
"","","","","D000595","R","510","657","80.32","SC","11","Jim DeMint","","https://api.propublica.org/congress/v1/members/D000595.json","",""
"","","","","S000888","R","508","657","80.51","AK","12","Ted F. Stevens","","https://api.propublica.org/congress/v1/members/S000888.json","",""
"","","","","N000180","D","527","657","81.2","NE","13","Ben Nelson","","https://api.propublica.org/congress/v1/members/N000180.json","",""
"","","","","W000154","R","494","657","81.79","VA","14","John W. Warner","Announced retirement at end of Congress","https://api.propublica.org/congress/v1/members/W000154.json","",""
"","","","","D000407","R","509","657","81.83","NM","15","Pete V. Domenici","Announced retirement at end of Congress","https://api.propublica.org/congress/v1/members/D000407.json","",""
"","","","","G000445","R","520","657","82.41","NH","16","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","K000352","R","532","657","82.61","AZ","17","Jon Kyl","","https://api.propublica.org/congress/v1/members/K000352.json","",""
"","","","","L000550","D","529","657","82.79","LA","18","Mary L. Landrieu","","https://api.propublica.org/congress/v1/members/L000550.json","",""
"","","","","S001078","R","534","657","82.79","NH","19","John E. Sununu","","https://api.propublica.org/congress/v1/members/S001078.json","",""
"","","","","B001233","D","531","657","83.23","IN","20","Evan Bayh","","https://api.propublica.org/congress/v1/members/B001233.json","",""
"","","","","G000386","R","551","657","83.87","IA","21","Charles E. Grassley","","https://api.propublica.org/congress/v1/members/G000386.json","",""
"","","","","M001170","D","541","657","84.4","MO","22","Claire McCaskill","","https://api.propublica.org/congress/v1/members/M001170.json","",""
"","","","","I000024","R","526","657","84.57","OK","23","James M. Inhofe","","https://api.propublica.org/congress/v1/members/I000024.json","",""
"","","","","B001261","R","366","431","84.92","WY","24","John Barrasso","Appointed to replace Thomas 6/22/2007","https://api.propublica.org/congress/v1/members/B001261.json","",""
"","","","","B000611","R","537","657","85.24","MO","25","Christopher S. Bond","","https://api.propublica.org/congress/v1/members/B000611.json","",""
"","","","","C000567","R","554","657","85.49","MS","26","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","B001066","R","544","657","85.53","KY","27","Jim Bunning","","https://api.propublica.org/congress/v1/members/B001066.json","",""
"","","","","M001162","R","552","657","85.58","FL","28","Mel Martinez","","https://api.propublica.org/congress/v1/members/M001162.json","",""
"","","","","V000127","R","539","657","85.83","LA","29","David Vitter","","https://api.propublica.org/congress/v1/members/V000127.json","",""
"","","","","H000338","R","557","657","86.09","UT","30","Orrin G. Hatch","","https://api.propublica.org/congress/v1/members/H000338.json","",""
"","","","","B000382","R","559","657","86.13","UT","31","Robert F. Bennett","","https://api.propublica.org/congress/v1/members/B000382.json","",""
"","","","","C001071","R","558","657","86.24","TN","32","Bob Corker","","https://api.propublica.org/congress/v1/members/C001071.json","",""
"","","","","E000285","R","549","657","86.32","WY","33","Michael B. Enzi","","https://api.propublica.org/congress/v1/members/E000285.json","",""
"","","","","P000590","D","567","657","86.43","AR","34","Mark Pryor","","https://api.propublica.org/congress/v1/members/P000590.json","",""
"","","","","D000601","R","538","657","86.5","NC","35","Elizabeth H. Dole","","https://api.propublica.org/congress/v1/members/D000601.json","",""
"","","","","G000359","R","528","657","86.56","SC","36","Lindsey Graham","","https://api.propublica.org/congress/v1/members/G000359.json","",""
"","","","","E000194","R","543","657","86.6","NV","37","John Ensign","","https://api.propublica.org/congress/v1/members/E000194.json","",""
"","","","","L000304","ID","552","657","86.79","CT","38","Joseph I. Lieberman","Caucuses with the Ds","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","R000307","R","555","657","86.85","KS","39","Pat Roberts","","https://api.propublica.org/congress/v1/members/R000307.json","",""
"","","","","B001135","R","556","657","87.15","NC","40","Richard M. Burr","","https://api.propublica.org/congress/v1/members/B001135.json","",""
"","","","","A000109","R","554","657","87.38","CO","41","Wayne A. Allard","Announced retirement at end of Congress","https://api.propublica.org/congress/v1/members/A000109.json","",""
"","","","","S001141","R","562","657","87.4","AL","42","Jeff Sessions","","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","L000447","R","362","442","87.65","MS","43","Trent Lott","Resigned on 12/18/2007","https://api.propublica.org/congress/v1/members/L000447.json","",""
"","","","","A000360","R","551","657","87.74","TN","44","Lamar Alexander","","https://api.propublica.org/congress/v1/members/A000360.json","",""
"","","","","F000061","D","578","657","87.98","WI","45","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","M000303","R","209","657","88.19","AZ","46","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","C000858","R","545","657","88.19","ID","47","Larry E. Craig","Announced retirement at end of Congress","https://api.propublica.org/congress/v1/members/C000858.json","",""
"","","","","W000437","R","181","215","88.29","MS","48","Roger Wicker","Appointed to replace Trent Lott, R-Miss.","https://api.propublica.org/congress/v1/members/W000437.json","",""
"","","","","B001210","D","523","657","88.34","WV","49","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","B000953","R","455","657","88.35","KS","50","Sam Brownback","","https://api.propublica.org/congress/v1/members/B000953.json","",""
"","","","","T000250","R","577","657","88.36","SD","51","John Thune","","https://api.propublica.org/congress/v1/members/T000250.json","",""
"","","","","C000880","R","560","657","88.47","ID","52","Michael D. Crapo","","https://api.propublica.org/congress/v1/members/C000880.json","",""
"","","","","S000320","R","578","657","88.65","AL","53","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","C000174","D","578","657","88.92","DE","54","Thomas R. Carper","","https://api.propublica.org/congress/v1/members/C000174.json","",""
"","","","","H001016","R","571","657","88.94","TX","55","Kay Bailey Hutchison","","https://api.propublica.org/congress/v1/members/H001016.json","",""
"","","","","L000035","D","565","657","89.12","AR","56","Blanche Lincoln","","https://api.propublica.org/congress/v1/members/L000035.json","",""
"","","","","J000177","D","309","657","89.31","SD","57","Tim Johnson","","https://api.propublica.org/congress/v1/members/J000177.json","",""
"","","","","T000464","D","581","657","89.38","MT","58","Jon Tester","","https://api.propublica.org/congress/v1/members/T000464.json","",""
"","","","","B000243","D","587","657","89.62","MT","59","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","C001056","R","572","657","90.22","TX","60","John Cornyn","","https://api.propublica.org/congress/v1/members/C001056.json","",""
"","","","","D000432","D","583","657","90.39","ND","61","Byron L. Dorgan","","https://api.propublica.org/congress/v1/members/D000432.json","",""
"","","","","C000286","R","583","657","90.39","GA","62","Saxby Chambliss","","https://api.propublica.org/congress/v1/members/C000286.json","",""
"","","","","W000803","D","590","657","90.77","VA","63","Jim Webb","","https://api.propublica.org/congress/v1/members/W000803.json","",""
"","","","","M000355","R","596","657","90.85","KY","64","Mitch McConnell","","https://api.propublica.org/congress/v1/members/M000355.json","",""
"","","","","T000162","R","149","181","90.85","WY","65","Craig Thomas","Died on 6/4/2007","https://api.propublica.org/congress/v1/members/T000162.json","",""
"","","","","C000705","D","585","657","90.98","ND","66","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","I000055","R","590","657","91.61","GA","67","Johnny Isakson","","https://api.propublica.org/congress/v1/members/I000055.json","",""
"","","","","S001163","D","602","657","91.63","CO","68","Ken Salazar","","https://api.propublica.org/congress/v1/members/S001163.json","",""
"","","","","N000032","D","593","657","91.8","FL","69","Bill Nelson","","https://api.propublica.org/congress/v1/members/N000032.json","",""
"","","","","R000361","D","577","657","91.88","WV","70","John D. Rockefeller IV","","https://api.propublica.org/congress/v1/members/R000361.json","",""
"","","","","K000105","D","493","657","93.19","MA","71","Edward M. Kennedy","","https://api.propublica.org/congress/v1/members/K000105.json","",""
"","","","","I000025","D","549","657","93.21","HI","72","Daniel K. Inouye","","https://api.propublica.org/congress/v1/members/I000025.json","",""
"","","","","S000033","I","610","657","93.7","VT","73","Bernard Sanders","Caucuses with the Ds","https://api.propublica.org/congress/v1/members/S000033.json","",""
"","","","","R000146","D","613","657","93.73","NV","74","Harry Reid","","https://api.propublica.org/congress/v1/members/R000146.json","",""
"","","","","F000062","D","599","657","93.74","CA","75","Dianne Feinstein","","https://api.propublica.org/congress/v1/members/F000062.json","",""
"","","","","K000367","D","610","657","93.85","MN","76","Amy Klobuchar","","https://api.propublica.org/congress/v1/members/K000367.json","",""
"","","","","M000702","D","608","657","94.12","MD","77","Barbara A. Mikulski","","https://api.propublica.org/congress/v1/members/M000702.json","",""
"","","","","C001070","D","620","657","94.37","PA","78","Bob Casey","","https://api.propublica.org/congress/v1/members/C001070.json","",""
"","","","","B000711","D","586","657","94.52","CA","79","Barbara Boxer","","https://api.propublica.org/congress/v1/members/B000711.json","",""
"","","","","H000206","D","604","657","94.52","IA","80","Tom Harkin","","https://api.propublica.org/congress/v1/members/H000206.json","",""
"","","","","K000148","D","595","657","94.59","MA","81","John Kerry","","https://api.propublica.org/congress/v1/members/K000148.json","",""
"","","","","L000174","D","617","657","94.63","VT","82","Patrick J. Leahy","","https://api.propublica.org/congress/v1/members/L000174.json","",""
"","","","","S000770","D","615","657","94.76","MI","83","Debbie Stabenow","","https://api.propublica.org/congress/v1/members/S000770.json","",""
"","","","","C000127","D","616","657","94.77","WA","84","Maria Cantwell","","https://api.propublica.org/congress/v1/members/C000127.json","",""
"","","","","W000802","D","620","657","94.8","RI","85","Sheldon Whitehouse","","https://api.propublica.org/congress/v1/members/W000802.json","",""
"","","","","D000388","D","461","657","94.86","CT","86","Christopher J. Dodd","","https://api.propublica.org/congress/v1/members/D000388.json","",""
"","","","","W000779","D","611","657","94.88","OR","87","Ron Wyden","","https://api.propublica.org/congress/v1/members/W000779.json","",""
"","","","","R000122","D","619","657","94.94","RI","88","Jack Reed","","https://api.propublica.org/congress/v1/members/R000122.json","",""
"","","","","M000639","D","614","657","95.05","NJ","89","Robert Menendez","","https://api.propublica.org/congress/v1/members/M000639.json","",""
"","","","","B000468","D","620","657","95.53","NM","90","Jeff Bingaman","","https://api.propublica.org/congress/v1/members/B000468.json","",""
"","","","","K000305","D","628","657","95.59","WI","91","Herb Kohl","","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","B000944","D","619","657","95.67","OH","92","Sherrod Brown","","https://api.propublica.org/congress/v1/members/B000944.json","",""
"","","","","L000123","D","614","657","95.79","NJ","93","Frank R. Lautenberg","","https://api.propublica.org/congress/v1/members/L000123.json","",""
"","","","","L000261","D","622","657","95.84","MI","94","Carl Levin","","https://api.propublica.org/congress/v1/members/L000261.json","",""
"","","","","S000148","D","618","657","95.96","NY","95","Charles E. Schumer","","https://api.propublica.org/congress/v1/members/S000148.json","",""
"","","","","O000167","D","338","655","96.02","IL","96","Barack Obama","Elected to Presidency","https://api.propublica.org/congress/v1/members/O000167.json","",""
"","","","","A000069","D","630","657","96.18","HI","97","Daniel K. Akaka","","https://api.propublica.org/congress/v1/members/A000069.json","",""
"","","","","B000444","D","433","657","96.65","DE","98","Joseph R. Biden Jr.","Elected to Vice Presidency","https://api.propublica.org/congress/v1/members/B000444.json","",""
"","","","","M001111","D","622","657","96.73","WA","99","Patty Murray","","https://api.propublica.org/congress/v1/members/M001111.json","",""
"","","","","C000141","D","631","657","96.78","MD","100","Benjamin L. Cardin","","https://api.propublica.org/congress/v1/members/C000141.json","",""
"","","","","C001041","D","435","657","96.88","NY","101","Hillary Rodham Clinton","","https://api.propublica.org/congress/v1/members/C001041.json","",""
