"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","115","0","J000300","D","42","63","70.0","AL","1","Doug Jones","","https://api.propublica.org/congress/v1/members/J000300.json","103","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","M001183","D","279","388","72.09","WV","2","Joe Manchin III","","https://api.propublica.org/congress/v1/members/M001183.json","",""
"","","","","H001069","D","294","388","76.17","ND","3","Heidi Heitkamp","","https://api.propublica.org/congress/v1/members/H001069.json","",""
"","","","","D000607","D","298","388","78.01","IN","4","Joe Donnelly","","https://api.propublica.org/congress/v1/members/D000607.json","",""
"","","","","G000555","D","307","388","79.12","NY","5","Kirsten E. Gillibrand","","https://api.propublica.org/congress/v1/members/G000555.json","",""
"","","","","S000033","I","302","388","80.11","VT","6","Bernard Sanders","","https://api.propublica.org/congress/v1/members/S000033.json","",""
"","","","","W000817","D","314","388","80.93","MA","7","Elizabeth Warren","","https://api.propublica.org/congress/v1/members/W000817.json","",""
"","","","","B001288","D","305","388","82.66","NJ","8","Cory Booker","","https://api.propublica.org/congress/v1/members/B001288.json","",""
"","","","","M001170","D","311","388","83.16","MO","9","Claire McCaskill","","https://api.propublica.org/congress/v1/members/M001170.json","",""
"","","","","P000603","R","313","388","83.69","KY","10","Rand Paul","","https://api.propublica.org/congress/v1/members/P000603.json","",""
"","","","","H001075","D","324","388","83.72","CA","11","Kamala Harris","","https://api.propublica.org/congress/v1/members/H001075.json","",""
"","","","","K000383","I","328","388","84.54","ME","12","Angus King","","https://api.propublica.org/congress/v1/members/K000383.json","",""
"","","","","M001176","D","324","388","84.6","OR","13","Jeff Merkley","","https://api.propublica.org/congress/v1/members/M001176.json","",""
"","","","","M000133","D","333","388","86.05","MA","14","Edward J. Markey","","https://api.propublica.org/congress/v1/members/M000133.json","",""
"","","","","W000805","D","329","388","86.35","VA","15","Mark Warner","","https://api.propublica.org/congress/v1/members/W000805.json","",""
"","","","","T000464","D","337","388","87.99","MT","16","Jon Tester","","https://api.propublica.org/congress/v1/members/T000464.json","",""
"","","","","L000577","R","341","388","88.34","UT","17","Mike Lee","","https://api.propublica.org/congress/v1/members/L000577.json","",""
"","","","","N000032","D","335","388","88.62","FL","18","Bill Nelson","","https://api.propublica.org/congress/v1/members/N000032.json","",""
"","","","","C000174","D","340","388","88.77","DE","19","Thomas R. Carper","","https://api.propublica.org/congress/v1/members/C000174.json","",""
"","","","","W000779","D","345","388","89.15","OR","20","Ron Wyden","","https://api.propublica.org/congress/v1/members/W000779.json","",""
"","","","","C001035","R","348","388","89.69","ME","21","Susan Collins","","https://api.propublica.org/congress/v1/members/C001035.json","",""
"","","","","C001113","D","341","388","89.74","NV","22","Catherine Cortez Masto","","https://api.propublica.org/congress/v1/members/C001113.json","",""
"","","","","H001042","D","343","388","89.79","HI","23","Mazie K. Hirono","","https://api.propublica.org/congress/v1/members/H001042.json","",""
"","","","","C001088","D","341","388","90.21","DE","24","Christopher A. Coons","","https://api.propublica.org/congress/v1/members/C001088.json","",""
"","","","","S001141","R","19","60","90.48","AL","25","Jeff Sessions","Resigned on Feb. 8, 2017 to become Attorney General.","https://api.propublica.org/congress/v1/members/S001141.json","",""
"","","","","P000595","D","348","388","90.63","MI","26","Gary Peters","","https://api.propublica.org/congress/v1/members/P000595.json","",""
"","","","","B001277","D","351","388","90.93","CT","27","Richard Blumenthal","","https://api.propublica.org/congress/v1/members/B001277.json","",""
"","","","","B001267","D","352","388","90.96","CO","28","Michael Bennet","","https://api.propublica.org/congress/v1/members/B001267.json","",""
"","","","","S000770","D","351","388","91.41","MI","29","Debbie Stabenow","","https://api.propublica.org/congress/v1/members/S000770.json","",""
"","","","","U000039","D","352","388","91.67","NM","30","Tom Udall","","https://api.propublica.org/congress/v1/members/U000039.json","",""
"","","","","D000622","D","352","388","91.91","IL","31","Tammy Duckworth","","https://api.propublica.org/congress/v1/members/D000622.json","",""
"","","","","M000303","R","260","388","92.2","AZ","32","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
